"ID","Tram","ThoiGian","ViDo","KinhDo","KhoangCach","HuongGoc","Goc","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","LDLR","SLDLR","Lo","Khoanh","TieuKhu","MGo","MDSD","NhietDo","DoAm","TocDoGio","ChisoP","NguyCo","DoCaoDamChay","TocDoLanTran","DuongKinh","KhoangCachTiepCan","PhuongPhap","ChienLuoc","ChienThuat","KyThuat","NhanLuc","PhuongTien","ChuRung","ImagePath"
30,SocSon,"09 giờ 31 phút ngày 03/09/2025","21.28128749153661","105.82063142553214","570.5940207576651",Đông,"60","78.0","18.07570659793772","184.28915332881903",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"54","17","409","91.4",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke30.jpg
31,SocSon,"09 giờ 33 phút ngày 03/09/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke31.jpg
32,SocSon,"13 giờ 28 phút ngày 03/09/2025","21.278584770217254","105.82405830899995","840.1170721504776",Đông Nam,"90","60.0","22.237833229883023","211.15930450834438",Phù Linh,"400",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"29","17","400","73.5",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke32.jpg
33,SocSon,"13 giờ 57 phút ngày 03/09/2025","21.28128750299971","105.81595023971033","300.5268618228856",Bắc,"360","58.0","17.47213856401269","243.1037630345066",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng khác,Vải,"49","17","409","126.0",Phòng hộ môi sinh,,,,,Không xác định,"0.33867036811169315","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke33.jpg
34,SocSon,"13 giờ 59 phút ngày 03/09/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke34.jpg
36,SocSon,"15 giờ 13 phút ngày 03/09/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke36.jpg
37,SocSon,"15 giờ 17 phút ngày 03/09/2025","21.28128749153661","105.82063142553214","570.5940207576651",Đông,"60","78.0","18.07570659793772","184.28915332881903",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"54","17","409","91.4",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke37.jpg
38,SocSon,"14 giờ 31 phút ngày 04/09/2025","21.28128749153661","105.82063142553214","570.5940207576651",Đông,"60","78.0","18.07570659793772","184.28915332881903",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"54","17","409","91.4",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke38.jpg
39,SocSon,"15 giờ 24 phút ngày 04/09/2025","21.280925407802286","105.81730155436586","295.53753605323067",Đông Bắc,"30","74.0","4.017309687726869","280.00797980144137",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"57","17","409","67.2",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke39.jpg
40,SocSon,"15 giờ 31 phút ngày 04/09/2025","21.28128749153661","105.82063142553214","570.5940207576651",Đông,"60","78.0","18.07570659793772","184.28915332881903",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông + Keo,"54","17","409","91.4",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/hanoi/SocSon/smoke40.jpg
